词条,创建年,摘要
马季洗裤袜,2019,摘要： 日语「まじひくわー」的协音，*上查到，在动画片《约会大作战中》比较出名吧，大概在第一季的第八话里四系乃的可爱的姿态承现画面时候，有一句「まじひく可爱いわー」的台词，字面意思是恶心的可爱，大概说非常可爱吧
miboy,2019,摘要： miboy的来源和意思目前经常指小米品牌的粉丝，且通常是对极端粉丝的蔑称。原本来自小米官方论坛发布的一项活动：男性小米用户上传自己的自拍照，上附自己的论坛id以及“我是米粉我爱小米”的字样，就可以在论坛
你在教我做事,2020,摘要： 指的是讨厌别人对你指手画脚，不需要你来教我，你觉着你比我懂得多？还能教我怎么做？一般来说，对方并非你上级，或者能力威望、身份地位等不比你高，却非要按他的想法指使你，这就很令人不满。
黑人抬棺,2020,摘要： 一群黑人抬着棺材跳舞，比喻对方正在进行作死行为
怪咖,2014,摘要： 喜欢在上厕所的时候吃东西，你真是个怪咖哦
伐开心,2019,摘要： 伐开心的来源和意思吴语（江浙一带的方言）中“不开心”一词的口语表达。在网络上使用时，一般是在因心情不佳而向亲近的人撒娇求安慰。因微博写手大咕咕咕鸡的文章《黄浦江与领导的故事》而在网络上流行。文章中黄浦江
次奥,2014,摘要： 网民的力量是无穷的，有时候一些禁词在贴吧、论坛会被屏蔽，但是这样无法阻挡网民们发表言论的自由，于是各种谐音词就相继问世。下面含义网小编带您了解一下
pose,2015,"摘要： 摆好pose,俺就要拍了"
人肉,2015,摘要： 我是不是被人肉了
恰饭视频,2019,摘要： 恰饭视频的来源和意思up为了生活和视频的制作后接一些商业合作之类的东西来获得实际的盈利收入，恰饭视频就是up主从纯兴趣向工作转变。好的方面是恰饭，有收入可以让以后拍摄视频的硬件设备能得到升级，做出视频质
1欲症,2019,摘要： 1欲症的来源和意思1欲症又称1欲障碍，以显著而持久的对1的渴望为主要临床特征。临床可见媒体只想1与永远没有1，部分病例有明显的幻想，严重者可以出现幻觉、打鸣等精神病性症状1欲症
轮流发生性关系,2014,摘要： 停车做爱枫林晚，轮流发生性关系。。。
我很想知道这个网站有没有投诉功能,2019,摘要： 投诉龘龘龘龘龘龘龘！这个网站没有人管了么？不断发无聊、重复的东西！不觉得人家进入你网站看见这一堆鬼东西还会继续浏览下去么？退一步讲，也应该设一个屏蔽功能了吧？设置这个网站的人能不能上点心？还有，这位龘龘
友尽,2017,"摘要： 我的女神我喜欢你,我们友尽好吗?"
zz,2019,摘要： 智障
游乐王子,2019,摘要： 游乐王子的来源和意思最近的网络热词“雨女无瓜”“你怎么这个亚子”都与这个人有关。他是来自“巴啦啦小魔仙”里面的主角之一“游乐王子”，由于某位网友翻看了之前的巴啦啦小魔仙，发现了游乐王子的“塑料普通话”，
咱也不知道，咱也不敢问,2020,摘要： 咱也不知道，咱也不敢问的来源和意思该词的出处是在抖音，最开始是一位网友评论，后来随着这句话的人增多，就开始变成网络流行语，这个句子包含着特殊的幽默、诙谐的含义咱也不知道，咱也不敢问的使用例句咱也不知道，
追星界蜻蜓队长,2019,摘要： 追星界蜻蜓队长的来源和意思追星界蜻蜓队长指的是在追星路上绝不专一，看到长得帅的明显都有好感，具备以下三点特征的可以称之为追星界蜻蜓队长第一:爱一个哥哥绝不是意气用事第二:绝不错过任何一位帅气的男士第三:
蹭蹭族,2014,摘要： 蹭网蹭吃蹭衣...俺是典型的蹭蹭族哦
我有点方,2017,摘要： 我有点方，网络流行语，是我有点慌的意思，意指我有点怕怕的，也指惊慌失措、出乎意料。多有讽刺、嘲讽含义。
阿姨压一压,2019,摘要： 阿姨压一压的来源和意思即”啊咿呀咿呀“的谐音写法，通常指歌曲中有相似发音的吟唱部分，也指不断出现该吟唱内容的歌曲本身。虽然这种吟唱在许多歌曲中都有出现，但该词专用于指代曲目名称时，通常代表的是《Butt
蓝颜知己,2017,摘要： 我们无话不说，一起吃饭逛街，但是不会拉手拥抱...哦你就是我的蓝颜知己
杠精,2018,摘要： 杠精的来源和意思杠精用以形容非常爱抬杠的一类人群，你看都成精了都，什么事情都爱抬杠，可以说是抬杠成瘾了，不得不说，这样的人真的挺令人反感的，遇到容易冲动的人都想上去揍他几下，为什么杠精会这么容易让人生气
好好读术,2019,摘要： 好好读术的来源和意思也称为好好毒树，都是好好读书一词的谐音。是影视剧巴啦啦小魔仙中游乐王子的一段口误发音，因为其魔性搞笑而走红网络。现在多用在表示好好学习的语境中，也用来调侃别人要多去学习。可以单独使用
随薪锁欲,2019,摘要： 随薪锁欲的来源和意思这里的薪指薪水、工资，演化自成语随心所欲，指当代人因为自己的薪水太少，没有办法自由的去满足自己的欲望，多被网友用来调侃自己的薪资状态。网友表示这样的说法过于真实，感到非常扎心。想要随
刀片纸尿裤,2014,摘要： 潍坊的王女士前几天购买了纸尿裤，准备给孩子换上的时候，却发现了一把刀片。
嫉妒使我,2019,摘要： 嫉妒使我的来源和意思指“我因嫉妒而（作出某种行为或发生改变）”。该词后可接任何词汇或现象。例如“嫉妒使我面目全非”。最初的版本可能是“嫉妒使我丑陋”，调侃地表示自己因嫉妒到极点而面容扭曲，整个人都酸溜溜
778,2020,摘要： 778的来源和意思778是吃吃吧的谐音，来源于抖音上很火的一位 他每次拍本人吃东西的视频都会说:“搞点夜点心吃吃吧” 而后语气说的很搞笑听起来就像搞点夜点心778，于是778便火起来，是吃吃吧的意思。科
滴滴司机,2019,摘要： 为了赚钱，宁愿浪费时间，慢开车，绕远路，假装不知道的老司机。
兽耳难度,2019,摘要： 兽耳难度:当队友中出现玩家兽耳时，游戏难度自动晋升为兽耳难度，玩家兽耳会在开局五分钟后自动投降，队友需要在五分钟之内赢得比赛，此为“兽耳难度”。
黑店,2014,摘要： A:卧槽开黑店了还是打输了.B:估计对方也是开黑店的
被黑了,2014,摘要： 人家说看你这长相性能力一定很弱小，俺感觉又被黑了
蛋白质人,2019,摘要： 蛋白质人的来源和意思现实中的人类，也就是三次元的世界里所有的人类统统可以称呼为“蛋白质人”蛋白质是组成人体一切细胞、组织的重要成分。蛋白质同时也是生命的物质基础...每个人都具备的东西！蛋白质人也可以理
王思聪吃热狗,2018,摘要： 王思聪吃热狗的来源和意思在北京时间2018年11月3日晚，英雄联盟世界总冠军诞生，让很多人甚至lol官方感到意外的是，这次的冠军得主竟然是中国的电竞战队IG，这是一场非常不容易的胜利，很多网友欢呼庆祝，
傲娇受,2018,摘要： 傲娇、骄傲我都能明白并且合理使用，但是“傲娇受”是什么意思，“傲娇受”的出处在哪我却一脸懵逼
把妹,2014,"摘要： 文雅的[求偶]、俗一点的[追女]、再粗一点的[泡妞],[把妹]就更粗了。"
学渣,2014,摘要： 在学校时，你在老师和同学眼里是“学渣”还是“学霸”，你知道学渣是什么意思吗？下面通过文章来了解一下吧！
火影忍者青春完结,2019,摘要： 火影忍者很多影迷心中它已经结束了，现实中《火影忍者博人传》还在连载，可能在很多火影迷心中，只有鸣人和佐助的火影忍者才是完整的《火影忍者》吧。不得不承认其实每个影迷都已经长大了（老了），鸣人也有自己的孩子
见封滚,2019,摘要： 见封滚的来源和意思即“看见封面我就滚进来了”，表达视频或文章的封面图非常对自己的胃口，一看见它就不由自主地点进来查看。常见于B站的评论和弹幕中，当封面图片非常出彩时，经常能见到视频开头的弹幕中有大量且密
开局一张图，内容全靠编,2018,摘要： 开局一张图，内容全靠编，本小编却不是这样的哦，一直本着实事求是的原则，给大家带来最精准的流行语解释，希望给个赞
路转粉,2014,"摘要： 你好牛逼啊,让俺果断地路转粉了..."
杀马特,2015,摘要： 染着五颜六色的头发，奇装异服，这就是杀马特啊
非洲酋长,2020,摘要： 因为在人运气不好、发生了不尽人意的事情的时候，人的脸色就会变黑变差。如果一个人的运气一直不好，就会一直脸着黑。由于非洲人脸是黑的，网友用非洲人来形容运气不好的人。
智性恋,2020,摘要： 智性恋的来源和意思指的是以智商标准的恋爱取向，喜欢高智商成熟稳重的人。这是一种择偶偏好，是指相比于颜值、经济等其他条件，更在意对方的智商，是否聪明，将这个作为择偶的第一标准。例如谢耳朵的智商就杠杠的！另
粽子,2019,摘要： 粽子的来源和意思这里的粽子不是指端午节吃的那个粽子，而是类似僵尸一样的鬼怪。盗墓小说或影视剧常有，盗墓者的暗语，称尸体为粽子。共分七类：大粽子、老粽子、干粽子、肉粽子、血粽子、霉粽子、女粽子。其中大粽子
最萌身高差,2014,摘要： 有研究表明，情侣双方的身高在12cm左右是最合适的，那“最萌身高差”指的是12cm吗？
废柴,2014,摘要： 俺不是天才，也不是人才，俺是废柴哦
C位出道,2019,摘要： 这是唐唐2018最熟悉的流行语！C位&nbsp;出道这个词来源于韩国音乐选秀节目&nbsp;《PRODUCE101》。C是英&nbsp;文“center”的缩写，代表中心的意思。&nbsp;表示为有实力
没有说xx不好的意思,2019,摘要： 没有说xx不好的意思的来源和意思在微博上常见的一种防杠精用语。一般用于对事物表达观点时，为了防止被他人曲解、挑刺和抬杠而使用。举例：我觉得A好棒哦，气质很出众！（没有说他旁边的B不好的意思）括号内内容指
凤凰男,2014,摘要： 俺是山沟里飞出个凤凰男哦也
鸡掰,2018,摘要： “鸡掰”一词是如今常见的网络流行语，一直只听过牛掰，关于“鸡掰”是什么梗，“鸡掰”是什么意思，一起来流行语百科看看吧
文宣,2019,摘要： 文宣的来源和意思据说是香港**分子废青（黑衣人）的团队之一。文宣就是他们的宣传组，负责洗地（即对负面新闻进行美化，已达到控制舆论的目的），如何洗地都会在连登先讨论一下。
